店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
"西宮の安くて旨い居酒屋
春日 西宮本店",050-5485-6428,,兵庫県,西宮市戸田町,4-24,セントラルステージ寺田1F,https://k034600.gorp.jp/,True
"リゾートレストラン
CORAL KITCHEN at cove",050-5487-6669,,兵庫県,西宮市西波止町,1-2,,https://kcsn900.gorp.jp/,True
"韓国料理サムギョプサル
炎 西宮店",050-5486-3415,,兵庫県,西宮市戸田町,6-30,,https://eng-nishinomiya.gorp.jp/,True
"牛めし・カレー・定食
松屋 阪神西宮店",0798-38-9050,,兵庫県,西宮市田中町,2-3,,https://ka5v009.gorp.jp/,True
"厳選焼肉食べ飲み放題
焼肉六甲 阪神西宮店",050-5487-8843,,兵庫県,西宮市田中町,2-25,まるよビル2F,https://c334411.gorp.jp/,True
"4等級以上黒毛和牛焼肉
焼肉・すき焼き 純 エビスタ西宮店",050-5485-2635,,兵庫県,西宮市田中町,1-6,エビスタ西宮1F,,False
"素材にこだわった焼肉屋
もりもと焼肉店",050-5487-0626,,兵庫県,西宮市産所町,2-10,,https://morimotoyakinikuten.gorp.jp/,True
"西宮 焼肉 韓国料理
焼肉・韓国料理 KollaBo （コラボ） エビスタ西宮店",050-5488-7494,,兵庫県,西宮市市田中町,1-6,エビスタ西宮1F,https://nbt6102.gorp.jp/,True
"大衆焼肉店
大衆焼肉＆ホルモン 牛よし",0798-61-2610,,兵庫県,西宮市六湛寺町,2-1,1F,https://k259314.gorp.jp/,True
"お好み焼・鉄板焼
りゅうちゃん",0798-35-5485,,兵庫県,西宮市池田町,7-34,池田コーポ101,https://ryuchan.gorp.jp/,True
"牛めし・カレー・定食
松屋 今津店",0798-38-8026,,兵庫県,西宮市今津曙町,1-1,エキーマ今津1F,https://ka5v024.gorp.jp/,True
"にぎわい酒場
にぎわい酒場 万 今津本店",050-5485-6488,ban_group@bannet.co.jp,兵庫県,西宮市津門呉羽町,2-39,,https://k714812.gorp.jp/,True
"ステーキレストラン
フォルクス 芦屋店",050-5493-7466,,兵庫県,芦屋市春日町,24-16,,https://kcgz607.gorp.jp/,True
"肉以外も充実の焼き肉屋
ヤキニク524",050-5484-2293,,兵庫県,芦屋市打出町,2-16,コモディータ芦屋1F,https://kebb200.gorp.jp/,True
"和中洋味わうレストラン
七園（ホテルヒューイット甲子園内）",050-5486-6214,,兵庫県,西宮市甲子園高潮町,3-30,,https://kcx5800.gorp.jp/,True
"ステーキ・鉄板焼
ニュー松坂 西宮北口店",050-5487-8481,,兵庫県,西宮市高松町,8-25,阪急西宮ガーデンズプラス館1F,https://c999904.gorp.jp/,True
"鉄板酒場
鉄板酒場 Bulan",050-5488-0639,,兵庫県,西宮市甲子園五番町,14-17,シャルマン五番館,https://kdgb401.gorp.jp/,True
"日本料理
日本料理 花ゆう",050-5484-3002,,兵庫県,西宮市南昭和町,4-9,,https://nihonryourihanayu.gorp.jp/,True
"鉄板串焼・鉄板焼
鉄板で焼く旬野菜と創作串焼き Utataya（うたたや）",0798-64-8888,,兵庫県,西宮市南昭和町,4-11,河合ビル1F,https://teppansakaba-mangetsudou.gorp.jp/,True
"喫茶店
喫茶 K",0798-23-4120,,兵庫県,西宮市石在町,10-1,,,False
"焼肉
炭火焼肉・石焼ビビンバ 勝っちゃん 西宮店",0798-33-5129,,兵庫県,西宮市宮前町,1-14,2F,,False
"ホルモン
博多もつ鍋 一級 阪神西宮店",0798-24-0120,,兵庫県,西宮市馬場町,1-28,タートルビル2F,,False
"ホルモン
串焼きホルモン ドラムKAN",0798-23-2171,,兵庫県,西宮市与古道町,6-2,畦地ビル,,False
"カラオケ
カラオケ喫茶敏",0798-34-8233,,兵庫県,西宮市今在家町,2-11,403,,False
"焼肉
よしぼん",0798-23-2878,,兵庫県,西宮市戸田町,6-11,,,False
"焼肉
肉処 千",0798-31-2188,,兵庫県,西宮市与古道町,2-35,,,False
"ホルモン
ホルモン屋ぎんちょう 阪神西宮店",0798-22-5337,,兵庫県,西宮市戸田町,1-8,,,False
"焼肉
三千里",0798-33-3413,,兵庫県,西宮市今在家町,3-17,,,False
"喫茶店
喫茶みさ",0798-35-9926,,兵庫県,西宮市津門川町,5-16,,,False
"鉄板焼き
鉄板焼きど",0798-26-0771,,兵庫県,西宮市津門住江町,5-14,,,False
"焼肉
炭火焼肉 神戸たんたん",0798-33-0641,,兵庫県,西宮市津門住江町,5-9,,,False
"焼肉
炭火焼肉 まめ牛",0798-23-8929,,兵庫県,西宮市川西町,8-24,2F,,False
"焼肉
焼肉 たじま屋 西宮店",0798-26-4129,,兵庫県,西宮市六湛寺町,1-11,1F,,False
"マンガ・漫画喫茶
快活CLUB 西宮駅前店",0798-38-9188,,兵庫県,西宮市六湛寺町,1-13,3F,,False
"鉄板焼き
れんらく船",0798-36-1539,,兵庫県,西宮市江上町,7-7,,,False
"焼肉
和風焼肉 牛倭心伝",0798-23-3778,,兵庫県,西宮市今津水波町,5-27,,,False
"焼肉
焼肉 ホルモン 門樹",0798-34-3319,,兵庫県,西宮市津門呉羽町,1-1,,,False
"焼肉
焼肉 勝っちゃん 今津駅前店",0798-42-8777,,兵庫県,西宮市津門呉羽町,1-30,万グループビル1F,,False
"焼肉
焼肉ごんちゃん",0798-23-6771,,兵庫県,西宮市津門宝津町,13-7,水田ビル1F,,False
"焼肉
和牛焼肉じょーばら",0798-31-2129,,兵庫県,西宮市櫨塚町,3-4,グローリービル1F,,False
"焼肉
柔焼肉店",0798-67-7278,,兵庫県,西宮市西福町,2-30,,,False
"ホルモン
ホルモン第一本舗",0798-22-5931,,兵庫県,西宮市中前田町,7-31,山下マンション101,,False
"焼肉
ぎゅう道楽",0798-36-9398,,兵庫県,西宮市津門稲荷町,11-19,,,False
"焼肉
和牛 炭火焼肉丸喜",0798-36-8447,,兵庫県,西宮市中須佐町,1-7,,,False
"喫茶店
喫茶 ベリー",0798-61-1294,,兵庫県,西宮市羽衣町,7-30,夙川グリーンタウンB1,,False
"焼肉
焼肉 金剛苑",0798-23-1920,,兵庫県,西宮市中須佐町,8-17,,,False
"鉄板焼き
鉄板市場",0798-78-3300,,兵庫県,西宮市弓場町,9-33,,,False
"焼肉
味楽園 夙川店",0798-23-2989,,兵庫県,西宮市羽衣町,10-5,アミスタ夙川B1F,,False
"焼肉
雄",0798-23-7113,,兵庫県,西宮市霞町,5-44,,,False
"焼肉
焼肉あみちゃん",0798-63-1292,,兵庫県,西宮市神明町,9,,,False
